name,x,y
Algeria,-127.0,213.0
Angola,-7.0,-112.0
Benin,-123.0,65.0
Botswana,52.0,-185.0
Burkina Faso,-156.0,84.0
Burundi,101.0,-41.0
Cameroon,-45.0,24.0
Central African Republic,11.0,43.0
Chad,1.0,117.0
Congo,32.0,-30.0
Djibouti,197.0,79.0
Egypt,86.0,209.0
Guinea,-66.0,-1.0
Eritrea,177.0,108.0
Ethiopia,167.0,59.0
Gabon,-57.0,-23.0
Gambia,-277.0,90.0
Ghana,-154.0,46.0
Guinea,-243.0,74.0
Ivory Coast,-189.0,46.0
Kenya,155.0,-9.0
Lesotho,80.0,-253.0
Liberia,-222.0,24.0
Libya,3.0,214.0
Madagascar,228.0,-172.0
Malawi,132.0,-120.0
Mali,-161.0,133.0
Mauritania,-226.0,146.0
Morocco,-198.0,258.0
Mozambique,139.0,-157.0
Namibia,-6.0,-190.0
Niger,-69.0,128.0
Nigeria,-70.0,69.0
Rwanda,104.0,-30.0
Senegal,-266.0,105.0
Sierra Leone,-246.0,42.0
Somalia,224.0,14.0
South Africa,30.0,-270.0
South Sudan,96.0,40.0
Sudan,93.0,116.0
Swaziland,112.0,-235.0
Tanzania,134.0,-60.0
Togo,-134.0,35.0
Tunisia,-68.0,279.0
Uganda,116.0,-2.0
Western Sahara,-239.0,195.0
Zambia,67.0,-127.0
Zimbabwe,95.0,-164.0
